package,version,file_out,functions,title,internal,all_urls
autostats,0.4.2,auto_variable_contributions.html,auto_variable_contributions,Plot Variable Contributions,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,cap_outliers.html,cap_outliers,cap_outliers,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,create_monotone_constraints.html,create_monotone_constraints,create monotone constraints,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,determine_pred_type.html,determine_pred_type,determine pred type,TRUE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,eval_preds.html,eval_preds,eval_preds,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,f_charvec_to_formula.html,f_charvec_to_formula,charvec to formula,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,f_formula_to_charvec.html,f_formula_to_charvec,Formula_rhs to chr vec,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,f_modify_formula.html,f_modify_formula,Modify Formula,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,impute_recosystem.html,impute_recosystem,impute_recosystem,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,pipe.html,%>%,Pipe operator,TRUE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,plot_coefs_glm.html,plot_coefs_glm,plot glm coefs,TRUE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,plot_ctree.html,plot_ctree,plot ctree,TRUE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,plot_varimp_cforest.html,plot_varimp_cforest,plot cforest variable importance,TRUE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,plot_varimp_xgboost.html,plot_varimp_xgboost,Plot varimp xgboost,TRUE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,tidy_cforest.html,tidy_cforest,tidy conditional inference forest,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,tidy_ctree.html,tidy_ctree,tidy ctree,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,tidy_formula.html,tidy_formula,tidy formula construction,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,tidy_glm.html,tidy_glm,tidy glm,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,tidy_predict.html,tidy_predict,tidy predict,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,tidy_predict.html,tidy_predict.Rcpp_ENSEMBLE,tidy predict,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,tidy_predict.html,tidy_predict.glm,tidy predict,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,tidy_predict.html,tidy_predict.default,tidy predict,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,tidy_predict.html,tidy_predict.BinaryTree,tidy predict,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,tidy_predict.html,tidy_predict.xgb.Booster,tidy predict,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,tidy_predict.html,tidy_predict.lgb.Booster,tidy predict,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,tidy_shap.html,tidy_shap,tidy shap,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,tidy_xgboost.html,tidy_xgboost,tidy xgboost,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,visualize_model.html,visualize_model,visualize model,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,visualize_model.html,visualize_model.RandomForest,visualize model,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,visualize_model.html,visualize_model.BinaryTree,visualize model,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,visualize_model.html,visualize_model.glm,visualize model,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
