title,topic,package
Broom extensions for summ objects,<a href='https://jtools.jacob-long.com/reference/glance.summ.html' target='_blank'><tt>glance.summ.lm</tt></a>,jtools
Broom extensions for summ objects,<a href='https://jtools.jacob-long.com/reference/glance.summ.html' target='_blank'><tt>glance.summ.glm</tt></a>,jtools
Broom extensions for summ objects,<a href='https://jtools.jacob-long.com/reference/glance.summ.html' target='_blank'><tt>glance.summ.svyglm</tt></a>,jtools
Broom extensions for summ objects,<a href='https://jtools.jacob-long.com/reference/glance.summ.html' target='_blank'><tt>glance.summ.merMod</tt></a>,jtools
Broom extensions for summ objects,<a href='https://jtools.jacob-long.com/reference/glance.summ.html' target='_blank'><tt>glance.summ.rq</tt></a>,jtools
Broom Integration,<a href='https://pacha.dev/capybara/' target='_blank'><tt>augment.feglm</tt></a>,capybara
Broom Integration,<a href='https://pacha.dev/capybara/' target='_blank'><tt>augment.felm</tt></a>,capybara
Broom Integration,<a href='https://pacha.dev/capybara/' target='_blank'><tt>glance.feglm</tt></a>,capybara
Broom Integration,<a href='https://pacha.dev/capybara/' target='_blank'><tt>glance.felm</tt></a>,capybara
Broom Integration,<a href='https://pacha.dev/capybara/' target='_blank'><tt>tidy.feglm</tt></a>,capybara
Broom Integration,<a href='https://pacha.dev/capybara/' target='_blank'><tt>tidy.felm</tt></a>,capybara
Broom methods for tidy cuminc objects,<a href='https://mskcc-epi-bio.github.io/tidycmprsk//reference/broom_methods_cuminc.html' target='_blank'><tt>tidy.tidycuminc</tt></a>,tidycmprsk
Broom methods for tidy cuminc objects,<a href='https://mskcc-epi-bio.github.io/tidycmprsk//reference/broom_methods_cuminc.html' target='_blank'><tt>glance.tidycuminc</tt></a>,tidycmprsk
Broom methods for tidycrr objects,<a href='https://mskcc-epi-bio.github.io/tidycmprsk//reference/broom_methods_crr.html' target='_blank'><tt>tidy.tidycrr</tt></a>,tidycmprsk
Broom methods for tidycrr objects,<a href='https://mskcc-epi-bio.github.io/tidycmprsk//reference/broom_methods_crr.html' target='_blank'><tt>glance.tidycrr</tt></a>,tidycmprsk
Broom methods for tidycrr objects,<a href='https://mskcc-epi-bio.github.io/tidycmprsk//reference/broom_methods_crr.html' target='_blank'><tt>augment.tidycrr</tt></a>,tidycmprsk
Broom Related Methods,<a href='https://friendly.github.io/nestedLogit//reference/broomMethods.html' target='_blank'><tt>glance.nestedLogit</tt></a>,nestedLogit
Broom Related Methods,<a href='https://friendly.github.io/nestedLogit//reference/broomMethods.html' target='_blank'><tt>tidy.nestedLogit</tt></a>,nestedLogit
broom's methods,<a href='https://www.R-project.org' target='_blank'><tt>tidy.mhurdle</tt></a>,mhurdle
broom's methods,<a href='https://www.R-project.org' target='_blank'><tt>glance.mhurdle</tt></a>,mhurdle
Broom-style tidying methods for breathtestfit,<a href='https://github.com/dmenne/breathtestcore' target='_blank'><tt>tidy.breathtestfit</tt></a>,breathtestcore
Calculate LDA Dimension Estimates of Tokens,<a href='https://textrecipes.tidymodels.org//reference/step_lda.html' target='_blank'><tt>tidy.step_lda</tt></a>,textrecipes
Calculate Set of Text Features,<a href='https://textrecipes.tidymodels.org//reference/step_textfeature.html' target='_blank'><tt>tidy.step_textfeature</tt></a>,textrecipes
Change a model's tidy output,<a href='https://hughjonesd.github.io/huxtable//reference/tidy_override.html' target='_blank'><tt>tidy.tidy_override</tt></a>,huxtable
Change a model's tidy output,<a href='https://hughjonesd.github.io/huxtable//reference/tidy_override.html' target='_blank'><tt>glance.tidy_override</tt></a>,huxtable
"Class ""birdie"" of BIRDiE Models",<a href='https://corymccartan.com/birdie//reference/birdie-class.html' target='_blank'><tt>tidy.birdie</tt></a>,birdie
"Class ""birdie"" of BIRDiE Models",<a href='https://corymccartan.com/birdie//reference/birdie-class.html' target='_blank'><tt>glance.birdie</tt></a>,birdie
"Class ""birdie"" of BIRDiE Models",<a href='https://corymccartan.com/birdie//reference/birdie-class.html' target='_blank'><tt>augment.birdie</tt></a>,birdie
Clean Categorical Levels,<a href='https://textrecipes.tidymodels.org//reference/step_clean_levels.html' target='_blank'><tt>tidy.step_clean_levels</tt></a>,textrecipes
Clean Variable Names,<a href='https://textrecipes.tidymodels.org//reference/step_clean_names.html' target='_blank'><tt>tidy.step_clean_names</tt></a>,textrecipes
collapse factor levels using stringdist,<a href='https://embed.tidymodels.org/reference/step_collapse_stringdist.html' target='_blank'><tt>tidy.step_collapse_stringdist</tt></a>,embed
Combine Multiple Token Variables Into One,<a href='https://textrecipes.tidymodels.org//reference/step_tokenmerge.html' target='_blank'><tt>tidy.step_tokenmerge</tt></a>,textrecipes
Computation of the vector field,<a href='https://www.flaviosanti.it/software/plot3logit/' target='_blank'><tt>tidy.field3logit</tt></a>,plot3logit
Compute analysis of variance and likelihood ratio tests of fitted model objects,<a href='https://usepa.github.io/spmodel//reference/anova.spmodel.html' target='_blank'><tt>tidy.anova.splm</tt></a>,spmodel
Compute analysis of variance and likelihood ratio tests of fitted model objects,<a href='https://usepa.github.io/spmodel//reference/anova.spmodel.html' target='_blank'><tt>tidy.anova.spautor</tt></a>,spmodel
Compute analysis of variance and likelihood ratio tests of fitted model objects,<a href='https://usepa.github.io/spmodel//reference/anova.spmodel.html' target='_blank'><tt>tidy.anova.spglm</tt></a>,spmodel
Compute analysis of variance and likelihood ratio tests of fitted model objects,<a href='https://usepa.github.io/spmodel//reference/anova.spmodel.html' target='_blank'><tt>tidy.anova.spgautor</tt></a>,spmodel
Compute analysis of variance and likelihood ratio tests of fitted model objects,<a href='https://usepa.github.io/SSN2//reference/anova.SSN2.html' target='_blank'><tt>tidy.anova.ssn_lm</tt></a>,SSN2
Compute analysis of variance and likelihood ratio tests of fitted model objects,<a href='https://usepa.github.io/SSN2//reference/anova.SSN2.html' target='_blank'><tt>tidy.anova.ssn_glm</tt></a>,SSN2
Confusion Matrix for Categorical Data,<a href='https://yardstick.tidymodels.org/reference/conf_mat.html' target='_blank'><tt>tidy.conf_mat</tt></a>,yardstick
"Construct a single row summary ""glance"" of a model, fit, or other object",<a href='https://parsnip.tidymodels.org//reference/glance.model_fit.html' target='_blank'><tt>glance.model_fit</tt></a>,parsnip
"Construct a single row summary ""glance"" of a model, fit, or other object",<a href='https://tidyclust.tidymodels.org//reference/glance.cluster_fit.html' target='_blank'><tt>glance.cluster_fit</tt></a>,tidyclust
Convert a cross-price model to a tidy data frame of coefficients,<a href='https://brentkaplan.github.io/beezdemand//reference/tidy.cp_model_nls.html' target='_blank'><tt>tidy.cp_model_nls</tt></a>,beezdemand
Creates a data.frame for a log-likelihood object,<a href='https://data-wise.github.io/rmediation//reference/tidy_logLik.html' target='_blank'><tt>tidy.logLik</tt></a>,RMediation
Custom tidy method for binomial GLM results,<a href='https://insightsengineering.github.io/tern/' target='_blank'><tt>tidy.glm</tt></a>,tern
Custom tidy method for STEP results,<a href='https://insightsengineering.github.io/tern/' target='_blank'><tt>tidy.step</tt></a>,tern
Custom tidy methods for Cox regression,<a href='https://insightsengineering.github.io/tern/' target='_blank'><tt>tidy.summary.coxph</tt></a>,tern
Custom tidy methods for Cox regression,<a href='https://insightsengineering.github.io/tern/' target='_blank'><tt>tidy.coxreg.univar</tt></a>,tern
Custom tidy methods for Cox regression,<a href='https://insightsengineering.github.io/tern/' target='_blank'><tt>tidy.coxreg.multivar</tt></a>,tern
difftimearithmic Transformation,<a href='https://emilhvitfeldt.github.io/extrasteps//reference/step_difftime.html' target='_blank'><tt>tidy.step_difftime</tt></a>,extrasteps
Discretize numeric variables with CART,<a href='https://embed.tidymodels.org/reference/step_discretize_cart.html' target='_blank'><tt>tidy.step_discretize_cart</tt></a>,embed
Discretize numeric variables with XgBoost,<a href='https://embed.tidymodels.org/reference/step_discretize_xgb.html' target='_blank'><tt>tidy.step_discretize_xgb</tt></a>,embed
Down-Sample a Data Set Based on a Factor Variable,<a href='https://themis.tidymodels.org/reference/step_downsample.html' target='_blank'><tt>tidy.step_downsample</tt></a>,themis
Encoding Factors into Multiple Columns,<a href='https://embed.tidymodels.org/reference/step_embed.html' target='_blank'><tt>tidy.step_embed</tt></a>,embed
Extract coefficients from a linear cross-price model in tidy format,<a href='https://brentkaplan.github.io/beezdemand//reference/tidy.cp_model_lm.html' target='_blank'><tt>tidy.cp_model_lm</tt></a>,beezdemand
Extract coefficients from a mixed-effects cross-price model in tidy format,<a href='https://brentkaplan.github.io/beezdemand//reference/tidy.cp_model_lmer.html' target='_blank'><tt>tidy.cp_model_lmer</tt></a>,beezdemand
Extract Data and Modeled Values,<a href='https://bayesiandemography.github.io/bage//reference/augment.bage_mod.html' target='_blank'><tt>augment.bage_mod</tt></a>,bage
Extract GOF measures from a statistical object (broom package).,<a href='https://r-forge.r-project.org/projects/r2mlwin//reference/glance.mlwinfitIGLS.html' target='_blank'><tt>glance.mlwinfitIGLS</tt></a>,R2MLwiN
