title,func,topic,url,package
Convert values to predefined integers,step_integer,<a href='https://recipes.tidymodels.org/reference/step_integer.html' target='_blank'><tt>step_integer</tt></a>,https://recipes.tidymodels.org/reference/step_integer.html,recipes
Convex splines,step_spline_convex,<a href='https://recipes.tidymodels.org/reference/step_spline_convex.html' target='_blank'><tt>step_spline_convex</tt></a>,https://recipes.tidymodels.org/reference/step_spline_convex.html,recipes
Create a differenced predictor,step_diff,<a href='https://business-science.github.io/timetk/reference/step_diff.html' target='_blank'><tt>step_diff</tt></a>,https://business-science.github.io/timetk/reference/step_diff.html,timetk
Create a factors from A dummy variable,step_bin2factor,<a href='https://recipes.tidymodels.org/reference/step_bin2factor.html' target='_blank'><tt>step_bin2factor</tt></a>,https://recipes.tidymodels.org/reference/step_bin2factor.html,recipes
Create a lagged predictor,step_lag,<a href='https://recipes.tidymodels.org/reference/step_lag.html' target='_blank'><tt>step_lag</tt></a>,https://recipes.tidymodels.org/reference/step_lag.html,recipes
Create a Lead Predictor,step_lead,<a href='https://davidrsch.github.io/kerasnip/reference/step_lead.html' target='_blank'><tt>step_lead</tt></a>,https://davidrsch.github.io/kerasnip/reference/step_lead.html,kerasnip
Create a profiling version of a data set,step_profile,<a href='https://recipes.tidymodels.org/reference/step_profile.html' target='_blank'><tt>step_profile</tt></a>,https://recipes.tidymodels.org/reference/step_profile.html,recipes
Create counts of patterns using regular expressions,step_count,<a href='https://recipes.tidymodels.org/reference/step_count.html' target='_blank'><tt>step_count</tt></a>,https://recipes.tidymodels.org/reference/step_count.html,recipes
Create exposure records in a recipes step,step_expose,<a href='https://mattheaphy.github.io/actxps/reference/step_expose.html' target='_blank'><tt>step_expose</tt></a>,https://mattheaphy.github.io/actxps/reference/step_expose.html,actxps
Create interaction variables,step_interact,<a href='https://recipes.tidymodels.org/reference/step_interact.html' target='_blank'><tt>step_interact</tt></a>,https://recipes.tidymodels.org/reference/step_interact.html,recipes
Create missing data column indicators,step_indicate_na,<a href='https://recipes.tidymodels.org/reference/step_indicate_na.html' target='_blank'><tt>step_indicate_na</tt></a>,https://recipes.tidymodels.org/reference/step_indicate_na.html,recipes
Create traditional dummy variables,step_dummy,<a href='https://recipes.tidymodels.org/reference/step_dummy.html' target='_blank'><tt>step_dummy</tt></a>,https://recipes.tidymodels.org/reference/step_dummy.html,recipes
Cut a numeric variable into a factor,step_cut,<a href='https://recipes.tidymodels.org/reference/step_cut.html' target='_blank'><tt>step_cut</tt></a>,https://recipes.tidymodels.org/reference/step_cut.html,recipes
Data depths,step_depth,<a href='https://recipes.tidymodels.org/reference/step_depth.html' target='_blank'><tt>step_depth</tt></a>,https://recipes.tidymodels.org/reference/step_depth.html,recipes
Date feature generator,step_date,<a href='https://recipes.tidymodels.org/reference/step_date.html' target='_blank'><tt>step_date</tt></a>,https://recipes.tidymodels.org/reference/step_date.html,recipes
Descriptive Statistics Vectorization of Persistent Homology,step_vpd_descriptive_statistics,<a href='https://github.com/tdaverse/tdarec' target='_blank'><tt>step_vpd_descriptive_statistics</tt></a>,https://github.com/tdaverse/tdarec,tdarec
Detect a regular expression,step_regex,<a href='https://recipes.tidymodels.org/reference/step_regex.html' target='_blank'><tt>step_regex</tt></a>,https://recipes.tidymodels.org/reference/step_regex.html,recipes
